Monitoring Stations,Month,Year,Date,pH (units),Ammonia (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml)
Stn XVII (Sanctuary),8,2013,05/08/2013,8.400123833,0.055830921,0.143497584,3,86,81699
Stn XVIII (Pagsanjan),8,2013,05/08/2013,8.26705231,0.052483506,0.137413864,2,116,43108
Stn. I (Central West Bay),9,2013,02/09/2013,8.274257257,0.052880185,0.138354291,2,84,48273
Stn II (East Bay),9,2013,02/09/2013,8.220332592,0.05039256,0.132138456,2,349,16600
Stn. IV (Central Bay),9,2013,02/09/2013,8.200020132,0.056477069,0.146283431,1,49,105624
Stn V (Northern West Bay),9,2013,02/09/2013,8.224953225,0.049731984,0.13117751,2,280,6635
Stn VIII (South Bay),9,2013,02/09/2013,8.247807088,0.050339141,0.13304753,2,144,13570
Stn XV (San Pedro),9,2013,02/09/2013,8.159983681,0.050841185,0.135191642,1,45,27126
Stn.XVI (Sta Rosa),9,2013,02/09/2013,8.285268714,0.05497571,0.142337333,2,114,77778
Stn XVII (Sanctuary),9,2013,02/09/2013,8.221187836,0.060322857,0.153628183,1,97,159694
Stn XVIII (Pagsanjan),9,2013,02/09/2013,8.257856258,0.052565256,0.137218764,2,188,45049
Stn. I (Central West Bay),10,2013,01/10/2013,8.254310388,0.052035046,0.136183312,2,186,37646
Stn II (East Bay),10,2013,01/10/2013,8.160135283,0.053504595,0.139750006,1,185,65763
Stn. IV (Central Bay),10,2013,01/10/2013,8.232043497,0.050490216,0.132731801,2,268,17056
Stn V (Northern West Bay),10,2013,01/10/2013,8.459988972,0.057240254,0.143602782,4,492,98174
Stn VIII (South Bay),10,2013,01/10/2013,8.21733163,0.051164837,0.13334932,2,412,28053
Stn XV (San Pedro),10,2013,01/10/2013,8.367704115,0.051158503,0.134330084,3,77,16557
Stn.XVI (Sta Rosa),10,2013,01/10/2013,8.330009381,0.05196301,0.134332788,3,397,31325
Stn XVII (Sanctuary),10,2013,01/10/2013,8.275179579,0.052536431,0.13780026,2,59,43209
Stn XVIII (Pagsanjan),10,2013,01/10/2013,8.290505904,0.054891487,0.142384056,2,71,76126
Stn. I (Central West Bay),11,2013,04/11/2013,8.360098305,0.051857463,0.13524795,3,170,27324
Stn II (East Bay),11,2013,04/11/2013,8.260993316,0.051830754,0.13607743,2,126,34133
Stn. IV (Central Bay),11,2013,04/11/2013,8.852429935,0.120007544,0.269670488,3,158,975862
Stn V (Northern West Bay),11,2013,04/11/2013,8.338969263,0.050602779,0.132333847,3,259,10851
Stn VIII (South Bay),11,2013,04/11/2013,8.211747496,0.051899213,0.134401337,2,492,39168
Stn XV (San Pedro),11,2013,04/11/2013,8.475065643,0.053049117,0.136987403,4,159,36118
Stn.XVI (Sta Rosa),11,2013,04/11/2013,8.184793377,0.054988118,0.138700079,2,854,86204
Stn XVII (Sanctuary),11,2013,04/11/2013,8.272570468,0.052306187,0.137311679,2,66,40082
Stn XVIII (Pagsanjan),11,2013,04/11/2013,8.273443045,0.052748231,0.138099082,2,83,46425
Stn. I (Central West Bay),12,2013,02/12/2013,8.339926515,0.050679103,0.132499171,3,256,11880
Stn II (East Bay),12,2013,02/12/2013,8.262903522,0.052096049,0.13660048,2,126,37826
Stn. IV (Central Bay),12,2013,02/12/2013,8.348476099,0.050866176,0.133130257,3,203,13893
Stn V (Northern West Bay),12,2013,02/12/2013,8.440586519,0.050808534,0.131901904,4,294,6434
Stn VIII (South Bay),12,2013,02/12/2013,8.16359091,0.053402378,0.135217396,2,926,64933
Stn XV (San Pedro),12,2013,02/12/2013,8.430570774,0.051644644,0.132966465,4,412,19389
Stn.XVI (Sta Rosa),12,2013,02/12/2013,8.416597422,0.052384085,0.133721676,4,554,31266
Stn XVII (Sanctuary),12,2013,02/12/2013,8.275512689,0.052582694,0.137891472,2,59,43853
Stn XVIII (Pagsanjan),12,2013,02/12/2013,8.273238137,0.052531033,0.137720342,2,73,43290
Stn. I (Central West Bay),1,2014,06/01/2014,8.233991313,0.049892532,0.131781042,2,222,8223
Stn II (East Bay),1,2014,06/01/2014,8.361861665,0.052611961,0.136601898,3,197,38128
Stn. IV (Central Bay),1,2014,06/01/2014,8.254826176,0.049671938,0.132162587,2,57,3312
Stn V (Northern West Bay),1,2014,06/01/2014,8.248486113,0.050886421,0.134007777,2,168,21456
Stn VIII (South Bay),1,2014,06/01/2014,8.206485788,0.051092954,0.132831529,2,488,27900
Stn XV (San Pedro),1,2014,06/01/2014,8.33401055,0.050952166,0.132750535,3,314,16328
Stn.XVI (Sta Rosa),1,2014,06/01/2014,8.220365131,0.051038794,0.133244316,2,383,25975
Stn XVII (Sanctuary),1,2014,06/01/2014,8.268163441,0.051184528,0.135233844,2,39,24167
Stn XVIII (Pagsanjan),1,2014,06/01/2014,8.263465708,0.051003941,0.134754097,2,64,21932
Stn. I (Central West Bay),2,2014,03/02/2014,8.139582001,0.050706713,0.134218919,1,188,26849
Stn II (East Bay),2,2014,03/02/2014,8.351726988,0.05212925,0.135407731,3,246,31955
Stn. IV (Central Bay),2,2014,03/02/2014,8.256343087,0.050316713,0.133320001,2,80,12544
Stn V (Northern West Bay),2,2014,03/02/2014,8.250165512,0.05059119,0.133564258,2,140,17034
Stn VIII (South Bay),2,2014,03/02/2014,8.318930241,0.05168886,0.133460746,3,464,28256
Stn XV (San Pedro),2,2014,03/02/2014,8.236541209,0.051020502,0.133802044,2,263,24382
Stn.XVI (Sta Rosa),2,2014,03/02/2014,8.383812099,0.053980723,0.139740914,3,108,56189
Stn XVII (Sanctuary),2,2014,03/02/2014,8.391019264,0.053603877,0.139359156,3,35,50129
Stn XVIII (Pagsanjan),2,2014,03/02/2014,8.264417157,0.050550988,0.134014462,2,33,15281
Stn. I (Central West Bay),3,2014,03/03/2014,8.236823009,0.049549722,0.131298147,2,183,3016
Stn II (East Bay),3,2014,03/03/2014,8.240089047,0.050041068,0.132256977,2,185,9878
Stn. IV (Central Bay),3,2014,03/03/2014,8.25247469,0.049817206,0.132325287,2,82,5613
Stn V (Northern West Bay),3,2014,03/03/2014,8.461529106,0.050810515,0.132667843,4,140,4744
Stn VIII (South Bay),3,2014,03/03/2014,8.318430417,0.050090652,0.130710563,3,383,5105
Stn XV (San Pedro),3,2014,03/03/2014,8.334684599,0.050083207,0.131289678,3,263,3663
Stn.XVI (Sta Rosa),3,2014,03/03/2014,8.228553335,0.049590264,0.131066338,2,246,4283
Stn XVII (Sanctuary),3,2014,03/03/2014,8.252583991,0.049719142,0.132161636,2,76,4181
Stn XVIII (Pagsanjan),3,2014,03/03/2014,8.267986821,0.051084503,0.135056429,2,35,22730
Stn. I (Central West Bay),4,2014,01/04/2014,8.214426431,0.049345806,0.130134079,2,337,1895
Stn II (East Bay),4,2014,01/04/2014,8.243722285,0.049583091,0.131606401,2,134,2934
Stn. IV (Central Bay),4,2014,01/04/2014,8.248165573,0.049577347,0.131758371,2,101,2486
Stn V (Northern West Bay),4,2014,01/04/2014,8.254054795,0.04967805,0.132144948,2,63,3464
Stn VIII (South Bay),4,2014,01/04/2014,8.216418564,0.049358244,0.130227877,2,323,1912
Stn XV (San Pedro),4,2014,01/04/2014,8.324950625,0.050260114,0.131237654,3,344,7029
Stn.XVI (Sta Rosa),4,2014,01/04/2014,8.369859509,0.05211844,0.136049485,3,112,30310
Stn XVII (Sanctuary),4,2014,01/04/2014,8.477418324,0.052790772,0.136631452,4,128,32176
Stn XVIII (Pagsanjan),4,2014,01/04/2014,8.274170828,0.051867861,0.136620675,2,31,33590
Stn. I (Central West Bay),5,2014,05/05/2014,8.361501212,0.053241364,0.137664676,3,233,47291
Stn II (East Bay),5,2014,05/05/2014,8.253545524,0.049512951,0.131844184,2,58,1110
Stn. IV (Central Bay),5,2014,05/05/2014,8.362930256,0.050118015,0.132377647,3,57,1850
Stn V (Northern West Bay),5,2014,05/05/2014,8.688026245,0.053735601,0.136947701,6,172,30476
Stn VIII (South Bay),5,2014,05/05/2014,8.245387296,0.049644467,0.131771944,2,125,3688
Stn XV (San Pedro),5,2014,05/05/2014,8.35200707,0.051262198,0.133935788,3,198,19350
Stn.XVI (Sta Rosa),5,2014,05/05/2014,8.373153763,0.052047485,0.136048143,3,84,29010
Stn XVII (Sanctuary),5,2014,05/05/2014,8.48183937,0.052781939,0.136777331,4,95,31685
Stn XVIII (Pagsanjan),5,2014,05/05/2014,8.26842945,0.050938363,0.134822734,2,24,20573
Stn. I (Central West Bay),6,2014,02/06/2014,8.456715057,0.053425995,0.136963467,4,314,43093
Stn II (East Bay),6,2014,02/06/2014,8.384784414,0.067758696,0.167812134,2,59,255108
Stn. IV (Central Bay),6,2014,02/06/2014,8.371971174,0.051505764,0.135079063,3,64,21246
Stn V (Northern West Bay),6,2014,02/06/2014,8.902106711,0.053105445,0.134698107,8,107,5636
Stn VIII (South Bay),6,2014,02/06/2014,8.263893319,0.05068585,0.13422592,2,44,17281
Stn XV (San Pedro),6,2014,02/06/2014,8.376907003,0.051606174,0.135430426,3,33,22298
Stn.XVI (Sta Rosa),6,2014,02/06/2014,8.381443806,0.05223626,0.136672689,3,33,31069
Stn XVII (Sanctuary),6,2014,02/06/2014,8.492183973,0.053105066,0.137706348,4,36,35525
Stn XVIII (Pagsanjan),6,2014,02/06/2014,8.533186611,0.058535406,0.148481959,4,22,110961
Stn. I (Central West Bay),7,2014,07/07/2014,8.276479079,0.04962128,0.131207277,2.369602576,180.2483808,1146
Stn II (East Bay),7,2014,07/07/2014,8.318011589,0.054016352,0.139876484,2.448988756,168.7841289,61590
Stn. IV (Central Bay),7,2014,07/07/2014,8.281638005,0.05016721,0.132284115,2.379463462,178.8243585,8654
Stn V (Northern West Bay),7,2014,07/07/2014,8.277474035,0.049726569,0.131414957,2.371504356,179.9737425,2594
Stn VIII (South Bay),7,2014,07/07/2014,8.28642176,0.050673439,0.133282643,2.388607242,177.5038946,15616
Stn XV (San Pedro),7,2014,07/07/2014,8.278096569,0.049792447,0.131544901,2.372694281,179.8019039,3500
Stn.XVI (Sta Rosa),7,2014,07/07/2014,8.29873708,0.051976676,0.135853257,2.412147023,174.1044871,33539
Stn XVII (Sanctuary),7,2014,07/07/2014,8.285656992,0.050592509,0.133123011,2.387145445,177.7149943,14503
Stn XVIII (Pagsanjan),7,2014,07/07/2014,8.304423029,0.052578378,0.137040103,2.423015275,172.5349899,41814
Stn. I (Central West Bay),8,2014,04/08/2014,8.277350352,0.04971348,0.131389141,2.371267946,180.0078826,2414
Stn II (East Bay),8,2014,04/08/2014,8.277010226,0.049677487,0.131318145,2.370617821,180.101768,1919
Stn. IV (Central Bay),8,2014,04/08/2014,8.278670317,0.049853162,0.131664661,2.373790957,179.6435317,4335
Stn V (Northern West Bay),8,2014,04/08/2014,8.27798388,0.049780522,0.131521379,2.372478887,179.8330094,3336
Stn VIII (South Bay),8,2014,04/08/2014,8.276841194,0.0496596,0.131282862,2.370294729,180.1484261,1673
Stn XV (San Pedro),8,2014,04/08/2014,8.276734689,0.049648329,0.131260632,2.370091154,180.1778246,1518
Stn.XVI (Sta Rosa),8,2014,04/08/2014,8.277285076,0.049706573,0.131375515,2.371143175,180.025901,2319
Stn XVII (Sanctuary),8,2014,04/08/2014,8.299132176,0.052018487,0.135935727,2.412902218,173.9954284,34114
Stn XVIII (Pagsanjan),8,2014,04/08/2014,8.31241473,0.053424084,0.138708244,2.438290362,170.3290215,
Stn. I (Central West Bay),10,2014,08/10/2014,8.1,0.053874039,0.139648638,2.287116318,169.0570603,60151
Stn II (East Bay),10,2014,08/10/2014,7.1,0.049856175,0.131960075,1.504537428,179.0969115,7217
Stn. IV (Central Bay),10,2014,08/10/2014,7.7,0.053360979,0.138733476,1.986710521,170.2151694,54045
Stn V (Northern West Bay),10,2014,08/10/2014,7.8,0.055264857,0.142468199,2.082302559,165.2876122,80025
Stn VIII (South Bay),10,2014,08/10/2014,7.4,0.05120943,0.134558663,1.741017813,175.6986418,25134
Stn XV (San Pedro),10,2014,08/10/2014,7.2,0.049420936,0.131076231,1.573136036,180.2792976,983
Stn.XVI (Sta Rosa),10,2014,08/10/2014,7.7,0.052457615,0.136949792,1.976285698,172.5748206,41604
Stn XVII (Sanctuary),10,2014,08/10/2014,7.7,0.051188942,0.134444807,1.961645194,175.8886882,24132
Stn XVIII (Pagsanjan),10,2014,08/10/2014,7.3,0.050293726,0.132775081,1.656829313,178.0450164,12763
Stn. I (Central West Bay),11,2014,04/11/2014,7.5,0.052624049,0.13732735,1.830963805,172.049063,44376
Stn II (East Bay),11,2014,04/11/2014,8.2,0.050607883,0.133175173,2.323046124,177.6340064,14930
Stn. IV (Central Bay),11,2014,04/11/2014,8.5,0.054347888,0.140486379,2.587069628,168.0013716,65717
Stn V (Northern West Bay),11,2014,04/11/2014,8.6,0.049697315,0.131279395,2.607023251,180.194515,1430
Stn VIII (South Bay),11,2014,04/11/2014,8.3,0.051635772,0.135180264,2.408529242,174.9945958,28846
Stn XV (San Pedro),11,2014,04/11/2014,7.9,0.051200262,0.134418222,2.109018366,175.9501402,23808
Stn.XVI (Sta Rosa),11,2014,04/11/2014,7.9,0.053943028,0.139833791,2.140669909,168.7858362,61581
Stn XVII (Sanctuary),11,2014,04/11/2014,7.9,0.053509898,0.13897858,2.135671591,169.9172019,55616
Stn XVIII (Pagsanjan),11,2014,04/11/2014,7.6,0.049680145,0.131490167,1.870612392,179.7842655,3593
Stn. I (Central West Bay),12,2014,01/12/2014,7.8,0.049523586,0.131132108,2.016048245,180.2842284,957
Stn II (East Bay),12,2014,01/12/2014,7.7,0.050452876,0.132991451,1.953150986,177.8113459,13995
Stn. IV (Central Bay),12,2014,01/12/2014,7.6,0.04983459,0.131795118,1.872394693,179.3808431,5720
Stn V (Northern West Bay),12,2014,01/12/2014,8,0.04967708,0.131386245,2.165062105,179.9743118,2591
Stn VIII (South Bay),12,2014,01/12/2014,7.6,0.04961356,0.131358695,1.869844,179.9581904,2676
Stn XV (San Pedro),12,2014,01/12/2014,7.9,0.049522348,0.131105196,2.089655227,180.3329728,700
Stn.XVI (Sta Rosa),12,2014,01/12/2014,7.5,0.052344712,0.1367758,1.827740246,172.7787132,40529
Stn XVII (Sanctuary),12,2014,01/12/2014,8.1,0.051327179,0.134619885,2.25772554,175.7096418,25076
Stn XVIII (Pagsanjan),12,2014,01/12/2014,7.8,0.049802197,0.131682224,2.019263424,179.5564748,4794
Stn. I (Central West Bay),1,2015,07/01/2015,8.5,0.049849514,0.131604377,2.535158349,179.7514522,3766
Stn II (East Bay),1,2015,07/01/2015,8.3,0.049704298,0.131366584,2.386240013,180.0397467,2246
Stn. IV (Central Bay),1,2015,07/01/2015,8.4,0.050643528,0.133196618,2.470700006,177.6319199,14941
Stn V (Northern West Bay),1,2015,07/01/2015,8.5,0.049772545,0.131452403,2.534270131,179.9524996,2706
Stn VIII (South Bay),1,2015,07/01/2015,8.3,0.04974496,0.131446872,2.38670926,179.933533,2806
Stn XV (San Pedro),1,2015,07/01/2015,8.6,0.049697025,0.131278822,2.607019899,180.1952737,1426
Stn.XVI (Sta Rosa),1,2015,07/01/2015,8.5,0.052579573,0.136994855,2.566663252,172.6203401,41364
Stn XVII (Sanctuary),1,2015,07/01/2015,8.5,0.053079723,0.137982398,2.572434989,171.3139115,48252
Stn XVIII (Pagsanjan),1,2015,07/01/2015,8.4,0.050437673,0.13279016,2.468324444,178.1696268,12106
Stn. I (Central West Bay),2,2015,03/02/2015,8.5,0.049679384,0.131268457,2.533195053,180.1958428,1423
Stn II (East Bay),2,2015,03/02/2015,8.4,0.049749531,0.131431429,2.460383277,179.9671041,2629
Stn. IV (Central Bay),2,2015,03/02/2015,8.2,0.049576505,0.131138725,2.311144011,180.3280412,726
Stn V (Northern West Bay),2,2015,03/02/2015,8.7,0.049717861,0.131295494,2.680881615,180.1863592,1473
Stn VIII (South Bay),2,2015,03/02/2015,8.3,0.049610411,0.131181205,2.385156556,180.2849866,953
Stn XV (San Pedro),2,2015,03/02/2015,8.5,0.049767971,0.13144337,2.534217341,179.9644486,2643
Stn.XVI (Sta Rosa),2,2015,03/02/2015,8.5,0.049838041,0.131581724,2.535025954,179.7814197,3608
Stn XVII (Sanctuary),2,2015,03/02/2015,8.4,0.051184413,0.134264592,2.476941828,176.219088,22390
Stn XVIII (Pagsanjan),2,2015,03/02/2015,8.4,0.04981372,0.13155817,2.461124017,179.7994381,3513
Stn. I (Central West Bay),3,2015,03/03/2015,7.9,0.050555832,0.133145801,2.10158164,177.6334377,14933
Stn II (East Bay),3,2015,03/03/2015,8,0.049905226,0.131836718,2.167694916,179.378377,5733
Stn. IV (Central Bay),3,2015,03/03/2015,7.9,0.052100067,0.136194881,2.11940213,173.5997827,36200
Stn V (Northern West Bay),3,2015,03/03/2015,8,0.050601355,0.13321122,2.175728256,177.5600364,15320
Stn VIII (South Bay),3,2015,03/03/2015,7.8,0.049864716,0.131805667,2.019984891,179.3931713,5655
Stn XV (San Pedro),3,2015,03/03/2015,8.2,0.050807202,0.133568728,2.325346272,177.1133696,17675
Stn.XVI (Sta Rosa),3,2015,03/03/2015,8.2,0.050276991,0.132521829,2.319227627,178.4983205,10373
Stn XVII (Sanctuary),3,2015,03/03/2015,8.3,0.051103309,0.134128921,2.402384621,176.3854263,21513
Stn XVIII (Pagsanjan),3,2015,03/03/2015,8.3,0.050229789,0.132404163,2.392304192,178.6671243,9483
Stn. I (Central West Bay),4,2015,07/04/2015,7.7,0.053404764,0.138819929,1.987215799,170.1008,54648
Stn II (East Bay),4,2015,07/04/2015,7.8,0.049800963,0.131679787,2.019249179,179.5596992,4777
Stn. IV (Central Bay),4,2015,07/04/2015,7.8,0.050549736,0.133158233,2.027890026,177.6038497,15089
Stn V (Northern West Bay),4,2015,07/04/2015,7.8,0.053960313,0.139892388,2.067248112,168.6951754,62059
Stn VIII (South Bay),4,2015,07/04/2015,7.9,0.049698794,0.131453588,2.091691423,179.8720812,3130
Stn XV (San Pedro),4,2015,07/04/2015,8,0.050172147,0.132363751,2.170775187,178.6811599,9409
Stn.XVI (Sta Rosa),4,2015,07/04/2015,8,0.051568763,0.135121357,2.186892143,175.0330986,28643
Stn XVII (Sanctuary),4,2015,07/04/2015,8,0.050903566,0.133807932,2.179215766,176.770641,19482
Stn XVIII (Pagsanjan),4,2015,07/04/2015,7.9,0.049947635,0.131944922,2.094563047,179.2220913,6557
Stn. I (Central West Bay),5,2015,05/05/2015,7.4,0.052887561,0.137872119,1.760383466,171.3152402,48245
Stn II (East Bay),5,2015,05/05/2015,7.6,0.049951205,0.132025372,1.873740426,179.0762374,7326
Stn. IV (Central Bay),5,2015,05/05/2015,7.9,0.052291181,0.136572235,2.121607591,173.1005783,38832
Stn V (Northern West Bay),5,2015,05/05/2015,7.9,0.050590468,0.133214189,2.101981338,177.5429664,15410
Stn VIII (South Bay),5,2015,05/05/2015,8.4,0.049720704,0.131374511,2.460050615,180.042402,2232
Stn XV (San Pedro),5,2015,05/05/2015,7.7,0.051619965,0.135295859,1.966619211,174.7628229,30068
Stn.XVI (Sta Rosa),5,2015,05/05/2015,7.5,0.05044918,0.133033089,1.805865798,177.7299788,14424
Stn XVII (Sanctuary),5,2015,05/05/2015,7.8,0.050576675,0.133211424,2.028200902,177.5334831,15460
Stn XVIII (Pagsanjan),5,2015,05/05/2015,7.8,0.049752967,0.131585018,2.0186953,179.6850693,4116
Stn. I (Central West Bay),6,2015,02/06/2015,7.4,0.050330754,0.132823725,1.73087789,177.9938061,13033
Stn II (East Bay),6,2015,02/06/2015,8.4,0.050353806,0.132624566,2.467356622,178.3886926,10951
Stn. IV (Central Bay),6,2015,02/06/2015,8.7,0.053535064,0.138832529,2.72493217,170.2155478,54043
Stn V (Northern West Bay),6,2015,02/06/2015,8.3,0.051079711,0.134082325,2.402112291,176.4470682,21188
Stn VIII (South Bay),6,2015,02/06/2015,8.1,0.049676495,0.131360623,2.238676629,180.0213492,2343
Stn XV (San Pedro),6,2015,02/06/2015,8.6,0.050051588,0.131978904,2.611111565,179.2691281,6309
Stn.XVI (Sta Rosa),6,2015,02/06/2015,7.1,0.050296929,0.132830339,1.509623729,177.9456309,13287
Stn XVII (Sanctuary),6,2015,02/06/2015,8.4,0.050135826,0.132194165,2.464841123,178.9580739,7949
Stn XVIII (Pagsanjan),6,2015,02/06/2015,8.7,0.050960902,0.133749869,2.695226326,176.9394442,18592
Stn. I (Central West Bay),7,2015,08/07/2015,8.4,0.049583976,0.131104542,2.458472772,180.3995456,349
Stn II (East Bay),7,2015,08/07/2015,8.7,0.051179101,0.1341807,2.697744339,176.3694939,21597
