Monitoring Stations,Month,Year,pH (units),Ammonia (mg/L),Nitrate (mg/L),Inorganic Phosphate (mg/L),BOD (mg/l),Dissolved Oxygen (mg/l),Total coliforms (MPN/100ml),Phytoplankton (cells/ml),Wind,Condition,Day,Time,Temperature,Dew Point,Humidity,Wind Speed,Wind Gust,Pressure,Precip.,Date
Stn II (East Bay),2,2013,8.24491742022243,0.047670196632910763,0.2310050917109696,0.1342926638713624,2.0,8.4,232.0,11706.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn. IV (Central Bay),2,2013,8.232642938279042,0.046707902575099866,0.23098011395075146,0.13467848504547258,2.0,7.8,181.0,2952.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn V (Northern West Bay),2,2013,8.223083177733297,0.04664050463494947,0.2311186595003325,0.13578642638343752,2.0,7.1,222.0,1429.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn VIII (South Bay),2,2013,8.240195298530098,0.04662341868922587,0.23083875619359562,0.13364014610470082,2.0,8.4,94.0,3086.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XV (San Pedro),2,2013,8.239040361240267,0.04871227214528062,0.23134125742176437,0.13625648394553594,2.0,7.6,770.0,19181.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn.XVI (Sta Rosa),2,2013,8.241050725255135,0.04857170163306689,0.23127627607611734,0.13584029974184406,2.0,7.8,365.0,18300.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XVII (Sanctuary),2,2013,8.240456702340996,0.047267584112397974,0.23098375997434095,0.134370250398688,2.0,8.2,115.0,8114.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn XVIII (Pagsanjan),2,2013,8.247706671504561,0.04711606757862213,0.23083175056920502,0.13329012609745253,2.0,8.8,658.0,7696.0,6.0,1.0,4,652.1739130434783,27.43478260869565,20.13043478260869,65.43478260869566,13.565217391304348,0.0,1012.8917391304348,0.0,2013-02-04
Stn. I (Central West Bay),3,2013,8.129472551298226,0.04595797991762913,0.2872534455540581,0.13207678004236062,1.0,7.5,147.0,20927.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn II (East Bay),3,2013,8.220768814184124,0.0656098916220478,0.2903335369427744,0.1439984047986304,1.0,7.7,273.0,183033.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn. IV (Central Bay),3,2013,8.24254963172299,0.04949019088162003,0.2314648705684348,0.13674140608164198,2.0,7.6,226.0,25587.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn V (Northern West Bay),3,2013,8.128350411868366,0.04600233859705653,0.28728181643187467,0.13226871059627354,1.0,7.4,220.0,21154.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn VIII (South Bay),3,2013,8.145050200985,0.048531832782209954,0.28759847039366826,0.13318837510181117,1.0,7.8,140.0,42537.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XV (San Pedro),3,2013,8.124416490212294,0.04454406652255456,0.2870074491582666,0.13103112612737927,1.0,7.6,845.0,9422.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn.XVI (Sta Rosa),3,2013,8.231889798079012,0.04712716860712297,0.23108938068066465,0.13526839642717936,2.0,7.6,365.0,6128.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XVII (Sanctuary),3,2013,8.244463285781254,0.04756952622510163,0.23098909494253506,0.13422991013255003,2.0,8.4,131.0,10877.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn XVIII (Pagsanjan),3,2013,8.255655338285019,0.051809184229196795,0.23179071979922528,0.13785841153525444,2.0,7.8,441.0,44960.0,6.0,3.0,4,650.0,26.25,20.58333333333333,71.54166666666667,8.791666666666666,0.0,1011.99125,0.0,2013-03-04
Stn. I (Central West Bay),4,2013,8.238095416824354,0.04703725465857538,0.23096848225119504,0.1343909518124399,2.0,8.1,52.0,6079.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn II (East Bay),4,2013,8.243507203500045,0.04970246093330925,0.231498600787039,0.13687372638977705,2.0,7.6,31.0,27335.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn. IV (Central Bay),4,2013,8.242016963522255,0.04819967418806159,0.23117451567059644,0.1352798349275655,2.0,8.0,49.0,15513.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn V (Northern West Bay),4,2013,8.226530321022201,0.04769776062624184,0.23130798218214177,0.13660975492942987,2.0,7.0,61.0,9997.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn VIII (South Bay),4,2013,8.242454411262228,0.05005530149721222,0.23159731235129022,0.13742223090160402,2.0,7.4,78.0,29964.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XV (San Pedro),4,2013,8.243625305776847,0.050021750617899395,0.23157065885874606,0.13723703748008464,2.0,7.5,340.0,29826.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn.XVI (Sta Rosa),4,2013,8.243394059245206,0.047918723710314276,0.23108722761287437,0.13477614370087354,2.0,8.2,210.0,13476.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XVII (Sanctuary),4,2013,8.357880205307485,0.052349508426017856,0.17548408249951675,0.14032946158880058,3.0,8.1,73.0,25259.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn XVIII (Pagsanjan),4,2013,8.26082475302476,0.04973091347121463,0.23122593365420174,0.13475583290483367,2.0,8.9,21.0,29367.0,6.0,1.0,1,650.0,30.375,22.20833333333333,62.04166666666666,12.75,0.0,1009.07625,0.0,2013-04-01
Stn. I (Central West Bay),5,2013,8.25949764947944,0.05412647648900522,0.2322655539664753,0.14012431100801093,2.0,7.3,46.0,63351.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn II (East Bay),5,2013,8.243694905371862,0.04857163252234316,0.23123362073900888,0.13551169825926906,2.0,8.0,17.0,18576.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn. IV (Central Bay),5,2013,8.49353073604142,0.06323057129510198,0.12103383506863397,0.15088928939733307,4.0,7.4,35.0,89329.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn V (Northern West Bay),5,2013,8.306261866710402,0.06537227832827928,0.23411650529254713,0.1476273130345952,2.0,7.0,254.0,155543.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn VIII (South Bay),5,2013,8.242868260170734,0.04838838566422012,0.2312045023752365,0.1353974698010449,2.0,8.0,225.0,17067.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XV (San Pedro),5,2013,8.347942806774338,0.051025960167954375,0.17533773405049558,0.13999725433973836,3.0,7.8,150.0,13945.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn.XVI (Sta Rosa),5,2013,8.367912122557472,0.05545266508456062,0.17604114804293514,0.14275667779079573,3.0,7.8,173.0,50398.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XVII (Sanctuary),5,2013,8.384694981847174,0.05682813659108625,0.17608913633212597,0.14229985582551993,3.0,8.6,42.0,62831.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn XVIII (Pagsanjan),5,2013,8.25094990329389,0.04900744938417041,0.2312175843695914,0.13512625153336671,2.0,8.4,12.0,22718.0,6.0,1.0,6,650.0,31.166666666666668,22.20833333333333,59.75,12.416666666666666,0.0,1006.915,0.0,2013-05-06
Stn. I (Central West Bay),6,2013,8.26642001302672,0.04891947939530384,0.23094773959658932,0.1331000642957168,2.0,9.6,11.0,23653.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn II (East Bay),6,2013,8.252964228179831,0.047988428933635224,0.23094904869610455,0.13366964062712752,2.0,8.9,16.0,15018.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn. IV (Central Bay),6,2013,8.291209520942635,0.04796629697173679,0.23032718872334157,0.12889174765746983,2.0,11.8,17.0,18846.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn V (Northern West Bay),6,2013,8.493362654047976,0.05234826675042484,0.11851569029230613,0.1380273836116703,4.0,11.1,83.0,4832.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn VIII (South Bay),6,2013,8.240678214495183,0.048489125182753015,0.23126315448077928,0.13578882502243222,2.0,7.8,284.0,17620.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XV (San Pedro),6,2013,8.463594972526757,0.05249102015671422,0.11902878423515717,0.14189479175980113,4.0,8.8,112.0,2827.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn.XVI (Sta Rosa),6,2013,8.38475296369293,0.0498063660104189,0.17446162793966757,0.13398007571474685,3.0,11.0,40.0,8327.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XVII (Sanctuary),6,2013,8.163360452859495,0.05083210820701858,0.28783605659129075,0.13363659577840598,1.0,8.4,46.0,62309.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn XVIII (Pagsanjan),6,2013,8.14142449938779,0.04596944820713754,0.28706336829405155,0.13060541608810095,1.0,8.4,11.0,22266.0,17.0,3.0,3,650.0,31.416666666666668,25.20833333333333,70.41666666666667,9.583333333333334,0.0,1005.2516666666668,0.0,2013-06-03
Stn. I (Central West Bay),7,2013,8.446847952804218,0.07119213636199853,0.1784142545853653,0.1515823333535471,3.0,8.4,13.0,180839.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn II (East Bay),7,2013,8.240704930980812,0.049374375534629755,0.2314677894105881,0.13683349081951937,2.0,7.5,33.0,24495.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn. IV (Central Bay),7,2013,8.367385649471574,0.05680150559252601,0.1763620929119194,0.14441888478221507,3.0,7.3,6.0,60814.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn V (Northern West Bay),7,2013,8.230134208690757,0.05084152823505654,0.23197811179075445,0.13988368231075093,2.0,6.2,107.0,34779.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn VIII (South Bay),7,2013,8.253424754673826,0.05190093748696022,0.23184794396645136,0.1382441650959999,2.0,7.6,83.0,45439.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XV (San Pedro),7,2013,8.237057978536395,0.052376357287287796,0.23222199979586877,0.1408404308087597,2.0,6.2,66.0,47418.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn.XVI (Sta Rosa),7,2013,8.246604170035097,0.05156141933851372,0.23187928243160894,0.13868964042851045,2.0,7.2,29.0,42090.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XVII (Sanctuary),7,2013,8.489362407195545,0.05878924370726092,0.1200722313672864,0.1461494003711622,4.0,8.6,40.0,54415.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn XVIII (Pagsanjan),7,2013,8.36975095132428,0.05322230418400327,0.1754948387659636,0.139887850902622,3.0,8.7,32.0,33276.0,7.0,3.0,1,640.6,29.36,24.52,76.12,9.16,2.16,1006.0092,0.0,2013-07-01
Stn. I (Central West Bay),8,2013,8.239482191459768,0.050568870942082005,0.23176420847416823,0.1383994855045087,2.0,7.0,26.0,33640.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn II (East Bay),8,2013,8.146781729739844,0.04832945136821717,0.28752366714798194,0.1327336605566772,1.0,8.0,245.0,41147.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn. IV (Central Bay),8,2013,8.281891895201374,0.05938383790236602,0.23312228343939934,0.14356581031914523,2.0,7.2,22.0,106506.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn V (Northern West Bay),8,2013,8.549819815936866,0.05681226668665701,0.06385599897236971,0.15082969132472757,5.0,6.6,74.0,10804.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn VIII (South Bay),8,2013,8.373074332570493,0.05776943704518181,0.17649457735577645,0.14485797372979756,3.0,7.4,83.0,68923.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XV (San Pedro),8,2013,8.340657553104066,0.05146276431854409,0.1755563985174935,0.1414194942585825,3.0,7.1,46.0,16574.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn.XVI (Sta Rosa),8,2013,8.339768232899175,0.05155873327941769,0.17559297039239663,0.14164359651212782,3.0,7.0,71.0,17226.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XVII (Sanctuary),8,2013,8.385059121524028,0.0592537319540828,0.17664514665422493,0.14512610454419178,3.0,7.8,86.0,81699.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn XVIII (Pagsanjan),8,2013,8.267105717139005,0.051416357664674284,0.23151507694289908,0.13597074780893972,2.0,8.8,116.0,43108.0,5.0,2.0,5,650.0,29.20833333333333,24.20833333333333,75.16666666666667,13.916666666666666,1.8333333333333333,1005.8766666666668,0.0,2013-08-05
Stn. I (Central West Bay),9,2013,8.259963217192885,0.05217791611788962,0.23180666782247217,0.13775970523334663,2.0,8.0,84.0,48273.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn II (East Bay),9,2013,8.220175571771392,0.048633943984679746,0.23162732137656183,0.1385075662457694,2.0,6.2,349.0,16600.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn. IV (Central Bay),9,2013,8.179609886739549,0.056192862960081136,0.28881582640115844,0.13796394219524255,1.0,7.8,49.0,105624.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn V (Northern West Bay),9,2013,8.205991199702833,0.047541383701073664,0.2316029661793133,0.13897646408185996,2.0,5.5,280.0,6635.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn VIII (South Bay),9,2013,8.237213091947213,0.04801410227689735,0.23120899438321207,0.13565699473086823,2.0,7.7,144.0,13570.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XV (San Pedro),9,2013,8.120403502258227,0.0468786885843788,0.28761297013822906,0.13429350348232705,1.0,6.5,45.0,27126.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn.XVI (Sta Rosa),9,2013,8.271140380359249,0.055828054879167456,0.23247197230709582,0.14069216649461577,2.0,7.6,114.0,77778.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XVII (Sanctuary),9,2013,8.226680862266024,0.06252380707687599,0.2895233180674823,0.13961048023000186,1.0,9.2,97.0,159694.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn XVIII (Pagsanjan),9,2013,8.278140954526622,0.051517723117239136,0.231360606734609,0.1347197012023863,2.0,9.6,188.0,45049.0,17.0,3.0,2,650.0,30.166666666666668,23.875,70.5,6.25,0.0,1008.33375,0.0,2013-09-02
Stn. I (Central West Bay),10,2013,8.2616205946677,0.0507866599057983,0.23145766081909103,0.13590677885788283,2.0,8.6,186.0,37646.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn II (East Bay),10,2013,8.16275960382309,0.0512851334349053,0.28795068773812127,0.13424755123657814,1.0,8.2,185.0,65763.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn. IV (Central Bay),10,2013,8.230397311396468,0.0485549770420738,0.23144419591962917,0.13714410793579457,2.0,7.0,268.0,17056.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn V (Northern West Bay),10,2013,8.483418207532605,0.06450618493701246,0.12149239925693966,0.15365580421711178,4.0,6.2,492.0,98174.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn VIII (South Bay),10,2013,8.26384440762162,0.04952096847256664,0.2311286063592093,0.1341321243351717,2.0,9.2,412.0,28053.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XV (San Pedro),10,2013,8.359345624632438,0.05120880914722601,0.17519621176937017,0.13879700116954574,3.0,8.6,77.0,16557.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn.XVI (Sta Rosa),10,2013,8.353724266691284,0.05318689524122439,0.17574507833181396,0.14183712885362132,3.0,7.5,397.0,31325.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XVII (Sanctuary),10,2013,8.264668061370074,0.05146220813093973,0.2315650070468347,0.13632788748154157,2.0,8.6,59.0,43209.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn XVIII (Pagsanjan),10,2013,8.28519330577444,0.055425930071239034,0.2321522075824174,0.1384701482288506,2.0,8.8,71.0,76126.0,13.0,2.0,1,665.24,27.0,25.52,92.0,9.72,0.0,1006.9272,0.0,2013-10-01
Stn. I (Central West Bay),11,2013,8.357764940549377,0.05261706639320548,0.17554792027767352,0.14066052528135903,3.0,8.0,170.0,27324.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn II (East Bay),11,2013,8.252217184625648,0.05046081169518608,0.23153381582529486,0.13668933386204796,2.0,8.0,126.0,34133.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn. IV (Central Bay),11,2013,8.873644009606624,0.16785406370380118,0.19392332113518695,0.2129873068218147,3.0,7.7,158.0,975862.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn V (Northern West Bay),11,2013,8.34874086738954,0.05061665188435149,0.1752300496306085,0.13941355020360774,3.0,8.0,259.0,10851.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn VIII (South Bay),11,2013,8.254975407679115,0.0510722417353779,0.23163097352018802,0.13707047388004576,2.0,8.0,492.0,39168.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XV (San Pedro),11,2013,8.459395252119268,0.05683601349143312,0.12010301325916295,0.14756030523085528,4.0,7.0,159.0,36118.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn.XVI (Sta Rosa),11,2013,8.280742196068974,0.05678410337797222,0.232538601988308,0.1406310105010079,2.0,8.0,854.0,86204.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XVII (Sanctuary),11,2013,8.255476105965286,0.051183234199476284,0.2316486104880393,0.13713966195878458,2.0,8.0,66.0,40082.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn XVIII (Pagsanjan),11,2013,8.258950864421722,0.05195350247056599,0.23177100795749417,0.13761981511353333,2.0,8.0,83.0,46425.0,13.0,2.0,4,656.88,27.48,25.52,89.32,5.88,0.0,1009.0004,0.0,2013-11-04
Stn. I (Central West Bay),12,2013,8.341825610099988,0.05084236578745351,0.1753938491750855,0.14053992605419707,3.0,7.4,256.0,11880.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn II (East Bay),12,2013,8.264212185030082,0.05077493294326553,0.23141315302146404,0.13557091035609675,2.0,8.8,126.0,37826.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn. IV (Central Bay),12,2013,8.337942382365469,0.05115398723692327,0.17552865527877626,0.14139129468889314,3.0,7.0,203.0,13893.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
Stn V (Northern West Bay),12,2013,8.455598984692394,0.05306338138994563,0.11929031122423495,0.14356581151826153,4.0,8.0,294.0,6434.0,18.0,2.0,2,650.0,26.625,24.20833333333333,87.5,5.083333333333333,0.0,1009.20125,0.0,2013-12-02
